"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 17 13:02:28 UTC 2025","Wed Dec 17 13:02:34 UTC 2025","6448","Google Chrome","register.spec.ts","","","","verify user able to register Charlie",""
"passed","Wed Dec 17 13:02:46 UTC 2025","Wed Dec 17 13:02:51 UTC 2025","5168","Google Chrome","search.spec.ts","","","","verify product search canon",""
"passed","Wed Dec 17 13:02:21 UTC 2025","Wed Dec 17 13:02:27 UTC 2025","6252","Google Chrome","register.spec.ts","","","","verify user able to register Bob",""
"passed","Wed Dec 17 13:01:23 UTC 2025","Wed Dec 17 13:01:26 UTC 2025","3321","Google Chrome","loginpage.spec.ts","","","","verify valid login @login",""
"passed","Wed Dec 17 13:01:56 UTC 2025","Wed Dec 17 13:02:03 UTC 2025","7122","Google Chrome","productinfo.spec.ts","","","","verify product images Samsung Galaxy Tab 10.1 : 7",""
"passed","Wed Dec 17 13:02:51 UTC 2025","Wed Dec 17 13:02:56 UTC 2025","4822","Google Chrome","search.spec.ts","","","","verify product search Dummy",""
"passed","Wed Dec 17 13:01:37 UTC 2025","Wed Dec 17 13:01:42 UTC 2025","5096","Google Chrome","productinfo.spec.ts","","","","verify product header Samsung Galaxy Tab 10.1",""
"passed","Wed Dec 17 13:02:10 UTC 2025","Wed Dec 17 13:02:16 UTC 2025","5697","Google Chrome","productinfo.spec.ts","","","","verify product pricing",""
"passed","Wed Dec 17 13:02:42 UTC 2025","Wed Dec 17 13:02:46 UTC 2025","3854","Google Chrome","search.spec.ts","","","","verify product search imac",""
"passed","Wed Dec 17 13:01:48 UTC 2025","Wed Dec 17 13:01:56 UTC 2025","8459","Google Chrome","productinfo.spec.ts","","","","verify product images MacBook Air : 4",""
"passed","Wed Dec 17 13:02:16 UTC 2025","Wed Dec 17 13:02:21 UTC 2025","5616","Google Chrome","register.spec.ts","","","","verify user able to register Alice",""
"failed","Wed Dec 17 13:02:38 UTC 2025","Wed Dec 17 13:02:41 UTC 2025","3330","Google Chrome","search.spec.ts","","","","verify product search Sumsung",""
"passed","Wed Dec 17 13:01:26 UTC 2025","Wed Dec 17 13:01:31 UTC 2025","4830","Google Chrome","productinfo.spec.ts","","","","verify product header MacBook Pro",""
"skipped","Wed Dec 17 13:01:26 UTC 2025","Wed Dec 17 13:01:26 UTC 2025","0","Google Chrome","loginpage.spec.ts","","","","verify invalid login",""
"passed","Wed Dec 17 13:01:42 UTC 2025","Wed Dec 17 13:01:48 UTC 2025","5523","Google Chrome","productinfo.spec.ts","","","","verify product images MacBook Pro : 4",""
"passed","Wed Dec 17 13:02:03 UTC 2025","Wed Dec 17 13:02:10 UTC 2025","6557","Google Chrome","productinfo.spec.ts","","","","verify product metadata @smoke",""
"passed","Wed Dec 17 13:01:22 UTC 2025","Wed Dec 17 13:01:23 UTC 2025","797","Google Chrome","example.spec.ts","","","","get started link",""
"passed","Wed Dec 17 13:02:34 UTC 2025","Wed Dec 17 13:02:38 UTC 2025","3959","Google Chrome","search.spec.ts","","","","verify product search Macbook",""
"passed","Wed Dec 17 13:01:20 UTC 2025","Wed Dec 17 13:01:21 UTC 2025","881","Google Chrome","example.spec.ts","","","","has title",""
"passed","Wed Dec 17 13:01:31 UTC 2025","Wed Dec 17 13:01:37 UTC 2025","6082","Google Chrome","productinfo.spec.ts","","","","verify product header MacBook Air",""
